,policy_type,epoch,filename,use_pad,Rewards Mean,Rewards Std,Rewards Max,Rewards Min,Returns Mean,Returns Std,Returns Max,Returns Min,Actions Mean,Actions Std,Actions Max,Actions Min,Num Paths,Average Returns
0,vanilla,0,vanilla/itr_0.pkl,False,0.2732302899827373,0.9035304314688836,4.691283832939666,-2.843031825502629,273.23028998273736,292.8565604727123,1001.8197810087484,-214.0700342722023,-0.052002583,0.59243035,0.99857044,-0.9989063,100,273.23028998273736
1,vanilla,300,vanilla/itr_300.pkl,False,3.3046000505259565,2.9920778189713055,7.969952277380867,-1.1303775226404666,3304.6000505259562,2268.298846196319,5893.32632783404,-201.28041996791515,-0.15491879,0.7450778,0.99990684,-0.9999826,100,3304.6000505259562
2,vanilla,600,vanilla/itr_600.pkl,False,4.919799230326371,2.3170247671553508,8.137104528059334,-1.1632979893583864,4919.799230326371,1705.9443969487606,6101.967395814476,-167.33553512155308,-0.19550996,0.7454754,0.99992573,-0.9996274,100,4919.799230326371
3,vanilla,900,vanilla/itr_900.pkl,False,4.218841590616597,2.474027027411368,7.733465743498982,-1.062613348067878,4218.841590616597,1841.897616642632,5774.36232978664,-13.994401540811262,-0.17180872,0.73892343,0.9999642,-0.99921924,100,4218.841590616597
4,vanilla,1200,vanilla/itr_1200.pkl,False,6.149818439978519,1.7438313075223133,9.101553738485109,-1.0848168053358918,6149.818439978519,981.2749919992912,6763.132546802064,1095.7622020375159,-0.18453322,0.73853505,0.9999624,-0.9993978,100,6149.818439978519
5,vanilla,1500,vanilla/itr_1500.pkl,False,3.977194109477684,2.685162810741992,7.968406870491663,-1.142074119693795,3977.1941094776844,1936.752043089362,5822.581649419185,-81.60413339700976,-0.15397772,0.75467986,0.9999981,-0.999789,100,3977.1941094776844
6,vanilla,1800,vanilla/itr_1800.pkl,False,3.5533769999751104,2.6977535041062843,7.741066921460731,-1.0820870800721636,3553.37699997511,1962.136876464525,5560.9434873290065,-8.431207819930117,-0.11683987,0.75052136,0.9999968,-0.99963903,100,3553.37699997511
7,vanilla,2100,vanilla/itr_2100.pkl,False,4.1427483318533564,2.6023737187257754,7.954045768462788,-1.1237999056039263,4142.748331853356,1844.6681138481922,5693.880977304633,-38.53886680389092,-0.17235899,0.7519181,0.9999999,-0.9998913,100,4142.748331853356
8,vanilla,2400,vanilla/itr_2400.pkl,False,5.00076237239017,2.040055638679136,7.785416953567915,-1.086599204311379,5000.762372390172,1359.5068044637035,5967.11864888792,248.30103093619152,-0.17962006,0.7570822,0.9999419,-0.9998471,100,5000.762372390172
9,vanilla,2700,vanilla/itr_2700.pkl,False,5.449624526656285,1.8923210658212988,8.517901570591722,-1.146783943688013,5449.6245266562855,1389.0872722882207,6185.211929742283,221.18607923797094,-0.18269491,0.74423975,0.99995065,-0.9999387,100,5449.6245266562855
10,vanilla,3000,vanilla/itr_3000.pkl,False,5.286887147097505,2.0144177548928406,8.313925825967932,-1.0947622030314859,5286.887147097506,1321.3700495128892,6245.409532343114,502.9782293659402,-0.18654175,0.73679984,0.999976,-0.9999615,100,5286.887147097506
11,pad,0,pad/itr_0.pkl,False,0.2849227309169322,0.9133069524485347,5.301424343916213,-4.257308711266058,284.9227309169321,308.7346179378577,1026.3985002923455,-224.3856263193196,-0.12811597,0.59054977,0.9976276,-0.9923128,100,284.9227309169321
12,pad,300,pad/itr_300.pkl,False,4.2489322424173,3.035213923174607,8.740427384903068,-1.092476597555999,4248.9322424173,2275.664477522529,6501.971911340542,-176.36985390555174,-0.22813968,0.73916614,0.9999779,-0.9999706,100,4248.9322424173
13,pad,600,pad/itr_600.pkl,False,2.506933792705889,2.8526919319807837,7.612017124808074,-1.146121032610938,2506.9337927058887,1887.0703725516337,5514.196279610742,-162.82017585861806,-0.16373917,0.7553239,0.9999998,-0.9999712,100,2506.9337927058887
14,pad,900,pad/itr_900.pkl,False,3.83355221763507,2.617016407469853,7.878223306529071,-1.123532574686616,3833.5522176350696,1927.9629317976762,5679.474784872185,216.19624340677223,-0.16395028,0.70157325,0.99999374,-0.9997592,100,3833.5522176350696
15,pad,1200,pad/itr_1200.pkl,False,4.990751418592542,1.7716472500979894,7.944954821998112,-1.183162796431316,4990.751418592544,1142.3608684722444,5729.522963150287,147.03394693339078,-0.1683992,0.75577193,0.9999736,-0.99986,100,4990.751418592544
16,pad,1500,pad/itr_1500.pkl,False,5.171649149912029,1.8945378415319485,8.053112794466637,-1.1287740518142015,5171.649149912028,1326.573090333871,5905.971114395773,75.57463491037615,-0.19102764,0.75257564,0.99997884,-0.99990535,100,5171.649149912028
17,pad,1800,pad/itr_1800.pkl,False,5.505737012271948,1.6170174284177605,8.325989866103873,-1.1152277072340382,5505.737012271947,1006.7019843093592,6071.29659930669,-123.31010709588483,-0.19480738,0.7513619,0.99996275,-0.99981225,100,5505.737012271947
18,pad,2100,pad/itr_2100.pkl,False,5.018511519618729,1.8753296224857945,7.889468512388953,-1.0854547704296686,5018.511519618728,1349.705046764508,5777.158838769224,247.27265421942522,-0.19428673,0.74716276,0.99994725,-0.9999923,100,5018.511519618728
19,pad,2400,pad/itr_2400.pkl,False,5.028958964281134,2.0016554183878656,7.9386134517025315,-1.1060612305680295,5028.958964281134,1381.6610657216736,5927.969138954464,-24.13847965013643,-0.17940278,0.7514053,0.99992394,-0.99973327,100,5028.958964281134
20,pad,2700,pad/itr_2700.pkl,False,5.713610401883484,1.102452870820313,7.739233004091102,-1.0789236336385997,5713.610401883483,348.4838788860819,5962.088697013321,3407.9465339429485,-0.19473447,0.7481457,0.99993867,-0.9999886,100,5713.610401883483
21,pad,3000,pad/itr_3000.pkl,False,5.891741340030376,1.0519973344761906,8.00755827042077,-1.2635191767602918,5891.741340030375,284.29483374132985,6209.468933647118,3446.6052640598173,-0.18981148,0.7486377,0.99993896,-0.99994576,100,5891.741340030375
22,pad,0,pad/itr_0.pkl,True,-0.19761001058140162,0.755970840250432,4.738035478199231,-4.057359867144898,-197.61001058140167,150.12208507446215,121.14862538780949,-474.0652499691933,-0.1572497,0.6999203,0.99999756,-0.9999952,100,-197.61001058140167
23,pad,300,pad/itr_300.pkl,True,5.839373864379141,2.606148968757139,9.096826362977946,-1.0933714947050597,5839.373864379141,2152.687416671904,7234.247819045193,-281.21075870179953,-0.19480658,0.7429244,0.99997896,-0.9999733,100,5839.373864379141
24,pad,600,pad/itr_600.pkl,True,3.529729373043201,2.792817967371161,7.805475074900301,-1.1467029457288032,3529.7293730432007,2066.518375447607,5763.210324450929,-209.52729820788977,-0.18438794,0.7612921,0.9999994,-0.99991375,100,3529.7293730432007
25,pad,900,pad/itr_900.pkl,True,4.468402744878469,2.4619170629145435,8.174017355411115,-1.1627299920449103,4468.402744878469,1842.3438341506067,6078.60103232331,-79.60833217708323,-0.17159954,0.72634655,0.9999987,-0.9996977,100,4468.402744878469
26,pad,1200,pad/itr_1200.pkl,True,5.616604845713356,1.6052002063583957,8.605335479694805,-1.1834499925467337,5616.6048457133575,1127.2366232442985,6333.461951152172,262.33437069149346,-0.17567006,0.7573364,0.99997306,-0.99981654,100,5616.6048457133575
27,pad,1500,pad/itr_1500.pkl,True,6.135621953816381,1.4773110176968283,8.49946923064681,-1.1296351686971957,6135.621953816382,821.8390084926601,6672.759079768882,388.74397152792164,-0.19104941,0.7476081,0.9999908,-0.9998494,100,6135.621953816382
28,pad,1800,pad/itr_1800.pkl,True,6.678786622424263,1.3018137155753222,9.007087905774574,-1.1158474595189032,6678.786622424263,437.03804066930246,7432.034913331091,3009.0225745287535,-0.19436847,0.744038,0.9999748,-0.9998487,100,6678.786622424263
29,pad,2100,pad/itr_2100.pkl,True,5.706175849016105,1.6976675485127126,8.553081501021051,-1.1538685275246052,5706.175849016106,1132.6815826782315,6430.015182195534,-41.499483946886215,-0.1951962,0.7465666,0.99997103,-0.99994427,100,5706.175849016106
30,pad,2400,pad/itr_2400.pkl,True,5.782726452070077,1.6851427766715843,8.550017859418858,-1.1058946356665857,5782.7264520700755,1133.6529420841423,6613.709178859941,464.30907779808246,-0.1817502,0.7439565,0.9999082,-0.9999148,100,5782.7264520700755
31,pad,2700,pad/itr_2700.pkl,True,6.09884170896042,1.0825470592013247,8.452922994074697,-1.254791384561122,6098.841708960422,230.8423821307428,6525.882277718518,4581.182090099283,-0.1929654,0.7425433,0.999958,-0.99995404,100,6098.841708960422
32,pad,3000,pad/itr_3000.pkl,True,6.231059672535882,1.1307984384926404,8.5784253069256,-1.074693876951617,6231.059672535884,395.6177336107503,6853.078344769891,2671.790786490744,-0.1905645,0.74287844,0.999942,-0.9999202,100,6231.059672535884
